指标,数值
有效运单数,5224
保留点数,1257300
分块数,37701
朴素文本字节（基准，六字段各保留 6 位小数）,80,939,028（约 64.38 B/点）
分块偏移量编码 + DEFLATE 后字节,16,724,572（**13.30 B/点**）
无损层压缩率（全局合计字节口径）,**4.84×**
无损层压缩率（逐运单均值 / 中位）,4.60 / 4.74
总压缩率 CR_total（逐运单相乘）均值 / 中位,**31.70** / **14.85**
部分解压与全量解压一致性（同一时间窗取回点数）,**5224 / 5224（100.00%）**
